method;d;nu;jit;time_attempt_step
ek1_reference;4;8;False;0.07225435280124656
ek1_reference;8;8;False;0.08180784019932616
ek1_reference;16;8;False;0.23812036049785093
ek1_reference;64;8;False;0.42144543179892935
ek1_reference;128;8;False;2.2809390967013314
ek1_diagonal;4;8;False;0.08296756930067203
ek1_diagonal;8;8;False;0.02770926380180754
ek1_diagonal;16;8;False;0.030786959198303522
ek1_diagonal;64;8;False;0.06951121280144434
ek1_diagonal;128;8;False;0.11741288829944097
ek1_diagonal;256;8;False;0.23916459780011792
ek1_diagonal;512;8;False;0.4423794330999954
ek1_diagonal;1024;8;False;1.0688005466974573
ek1_truncated;4;8;False;0.08822220379952342
ek1_truncated;8;8;False;0.04128478320199065
ek1_truncated;16;8;False;0.03187002030026633
ek1_truncated;64;8;False;0.07858757719804998
ek1_truncated;128;8;False;0.1651225998008158
ek1_truncated;256;8;False;0.8284770936996211
ek1_truncated;512;8;False;2.617028019099962
ek0_reference;4;8;False;0.005800919202738441
ek0_reference;8;8;False;0.006153991201426834
ek0_reference;16;8;False;0.03580220559961163
ek0_reference;64;8;False;0.37574327979818917
ek0_reference;128;8;False;2.2934128958004294
ek0_kronecker;4;8;False;0.008083572398754768
ek0_kronecker;8;8;False;0.00863615239795763
ek0_kronecker;16;8;False;0.007662305701524019
ek0_kronecker;64;8;False;0.0106535544997314
ek0_kronecker;128;8;False;0.008918171300319955
ek0_kronecker;256;8;False;0.010784764800337143
ek0_kronecker;512;8;False;0.016281502100173383
ek0_kronecker;1024;8;False;0.057761100400239226
