method;atol;rtol;nu;n_steps;nf;time_solve;deviation
RK45;0.001;0.001;0;56;530;0.012515956012066454;1.8962163118050808
RK45;0.0001;0.0001;0;69;554;0.014045320043805987;0.09756973030775828
RK45;1e-05;1e-05;0;102;848;0.02160439401632175;0.008078902448981351
RK45;1e-06;1e-06;0;153;1292;0.02960438100853935;0.000660857948519696
RK45;1e-07;1e-07;0;233;1808;0.041818962956313044;5.971812120962911e-05
RK45;1e-08;1e-08;0;359;2474;0.05669527797726914;2.6281456742636676e-06
RK45;1e-09;1e-09;0;560;3392;0.07988228602334857;1.3961897944656795e-07
RK45;1e-10;1e-10;0;889;5330;0.12512118503218517;7.515128562358421e-09
RK45;1e-11;1e-11;0;1411;8462;0.19205639301799238;1.3173498792852916e-09
RK45;1e-12;1e-12;0;2237;13418;0.3111093699699268;1.988330062554164e-09
Radau;0.001;0.001;0;102;934;0.2148370299837552;0.01147763920203241
Radau;0.0001;0.0001;0;167;1407;0.2897925589932129;0.0010896205533333049
Radau;1e-05;1e-05;0;283;2261;0.3950919659691863;4.248372875062196e-05
Radau;1e-06;1e-06;0;487;3809;0.6020775949582458;2.4999432390849255e-06
Radau;1e-07;1e-07;0;842;6402;1.5040273210033774;1.421169367151572e-07
Radau;1e-08;1e-08;0;1474;11126;3.963870515988674;1.440881021065781e-08
Radau;1e-09;1e-09;0;2636;19416;3.913807645032648;2.5087056874355186e-09
Radau;1e-10;1e-10;0;4630;33281;5.9639175339834765;2.080247116604691e-09
Radau;1e-11;1e-11;0;8173;57632;9.425559848023113;2.066414025935813e-09
Radau;1e-12;1e-12;0;14482;101801;14.994476309977472;2.0666505766995835e-09
KroneckerEK0;0.001;0.001;4;457;581;0.1113848160021007;0.014990235739159238
KroneckerEK0;0.0001;0.0001;4;455;589;0.1089823329821229;0.0027252037671454533
KroneckerEK0;1e-05;1e-05;4;641;760;0.15335250500356779;0.0006446530505646333
KroneckerEK0;1e-06;1e-06;4;1000;1071;0.23818062199279666;8.94836534467132e-05
KroneckerEK0;1e-07;1e-07;4;1581;1592;0.37378578999778256;9.832581013509728e-06
KroneckerEK0;1e-08;1e-08;4;2506;2521;0.5966848569805734;9.77310328971427e-07
KroneckerEK0;1e-09;1e-09;4;3966;3980;0.9247437120066024;9.077255336734585e-08
KroneckerEK0;1e-10;1e-10;4;6289;6310;1.485763336007949;9.777415418063026e-09
KroneckerEK0;1e-11;1e-11;4;9963;9988;2.3356034770258702;2.8829875011543523e-09
KroneckerEK0;1e-12;1e-12;4;15786;15808;3.7297528039780445;2.144961405724244e-09
DiagonalEK0;0.001;0.001;4;544;693;0.1552873479668051;0.008566697040392184
DiagonalEK0;0.0001;0.0001;4;549;698;0.15527601598296314;0.004246121088667081
DiagonalEK0;1e-05;1e-05;4;635;862;0.18702910898718983;0.0012183068913101912
DiagonalEK0;1e-06;1e-06;4;904;1044;0.25128587102517486;9.932762745345571e-05
DiagonalEK0;1e-07;1e-07;4;1424;1469;0.38565927697345614;1.1601662812896178e-05
DiagonalEK0;1e-08;1e-08;4;2258;2285;0.6178526969742961;1.1343463906841587e-06
DiagonalEK0;1e-09;1e-09;4;3575;3591;0.9751717569888569;1.0733986032673339e-07
DiagonalEK0;1e-10;1e-10;4;5676;5699;1.5442673380021006;1.2020723400216602e-08
DiagonalEK0;1e-11;1e-11;4;8994;9016;2.4367479330394417;2.9942187544762768e-09
DiagonalEK0;1e-12;1e-12;4;14252;14274;3.854774248029571;2.1479193122921495e-09
DiagonalEK1;0.001;0.001;4;544;693;0.16171083197696134;0.008566714885305287
DiagonalEK1;0.0001;0.0001;4;552;701;0.16757075703935698;0.004235476644606266
DiagonalEK1;1e-05;1e-05;4;632;853;0.19179885898483917;0.0012029342783058973
DiagonalEK1;1e-06;1e-06;4;904;1044;0.2667414420284331;9.932769942469287e-05
DiagonalEK1;1e-07;1e-07;4;1424;1469;0.4063515880261548;1.1601665770322266e-05
DiagonalEK1;1e-08;1e-08;4;2258;2285;0.6472388270194642;1.1343449904272549e-06
DiagonalEK1;1e-09;1e-09;4;3575;3591;1.0223442110000178;1.0734337165111603e-07
DiagonalEK1;1e-10;1e-10;4;5676;5699;1.6129213820095174;1.2019669916709824e-08
DiagonalEK1;1e-11;1e-11;4;8994;9016;2.564783598994836;2.9935261018776228e-09
DiagonalEK1;1e-12;1e-12;4;14252;14274;4.149970305967145;2.1570166044016764e-09
ReferenceEK1;0.001;0.001;4;325;454;6.459676392027177;0.03665714379366891
ReferenceEK1;0.0001;0.0001;4;482;654;9.437470742035657;0.009318013339806008
ReferenceEK1;1e-05;1e-05;4;718;886;13.450576553994324;0.00012684089237005879
ReferenceEK1;1e-06;1e-06;4;1081;1168;18.82335287198657;4.488893208504795e-06
ReferenceEK1;1e-07;1e-07;4;1660;1672;30.366189115971792;2.8084317380852465e-07
ReferenceEK1;1e-08;1e-08;4;2579;2594;41.057358190999366;1.3672554482367914e-08
ReferenceEK1;1e-09;1e-09;4;4028;4042;62.3785953290062;7.244278511774453e-09
ReferenceEK1;1e-10;1e-10;4;6338;6363;102.23139324999647;4.2200713777640244e-10
ReferenceEK0;0.001;0.001;4;457;581;11.639409310009796;0.014990235814062187
ReferenceEK0;0.0001;0.0001;4;455;589;18.150174874986988;0.002725203757984337
ReferenceEK0;1e-05;1e-05;4;641;760;13.676059852994513;0.0006446530515145282
ReferenceEK0;1e-06;1e-06;4;1000;1071;24.93209126603324;8.948365333877425e-05
ReferenceEK0;1e-07;1e-07;4;1581;1592;24.233052429975942;9.832582947618705e-06
ReferenceEK0;1e-08;1e-08;4;2506;2521;37.14568890200462;9.773086834464412e-07
ReferenceEK0;1e-09;1e-09;4;3966;3980;57.37072349700611;9.077310011507933e-08
ReferenceEK0;1e-10;1e-10;4;6289;6310;91.68062302202452;9.781560986456316e-09
