stiffness_constant;num_derivatives;tol;ensemble_size;n_steps;success
10.0;4;0.001;10;60;0
10.0;4;0.001;100;381;1
10.0;4;0.001;1000;232;1
10.0;4;0.001;10000;224;1
10.0;4;0.001;100000;223;1
10.0;4;0.0001;10;54;0
10.0;4;0.0001;100;569;1
10.0;4;0.0001;1000;393;1
10.0;4;0.0001;10000;386;1
10.0;4;0.0001;100000;385;1
10.0;4;1e-05;10;55;0
10.0;4;1e-05;100;917;1
10.0;4;1e-05;1000;685;1
10.0;4;1e-05;10000;669;1
10.0;4;1e-05;100000;670;1
10.0;4;1e-06;10;52;0
10.0;4;1e-06;100;1496;1
10.0;4;1e-06;1000;1202;1
10.0;4;1e-06;10000;1173;1
10.0;4;1e-06;100000;1171;1
10.0;4;1e-07;10;44;0
10.0;4;1e-07;100;2645;1
10.0;4;1e-07;1000;2109;1
10.0;4;1e-07;10000;2064;1
10.0;4;1e-07;100000;2065;1
10.0;4;1e-08;10;38;0
10.0;4;1e-08;100;4732;1
10.0;4;1e-08;1000;3733;1
10.0;4;1e-08;10000;3655;1
10.0;4;1e-08;100000;3654;1
100.0;4;0.001;10;48;0
100.0;4;0.001;100;9957;1
100.0;4;0.001;1000;908;1
100.0;4;0.001;10000;747;1
100.0;4;0.001;100000;691;1
100.0;4;0.0001;10;47;0
100.0;4;0.0001;100;10544;1
100.0;4;0.0001;1000;1335;1
100.0;4;0.0001;10000;1195;1
100.0;4;0.0001;100000;1146;1
100.0;4;1e-05;10;48;0
100.0;4;1e-05;100;11466;1
100.0;4;1e-05;1000;2179;1
100.0;4;1e-05;10000;2006;1
100.0;4;1e-05;100000;1950;1
100.0;4;1e-06;10;44;0
100.0;4;1e-06;100;13147;1
100.0;4;1e-06;1000;3640;1
100.0;4;1e-06;10000;3430;1
100.0;4;1e-06;100000;3393;1
100.0;4;1e-07;10;42;0
100.0;4;1e-07;100;16230;1
100.0;4;1e-07;1000;6224;1
100.0;4;1e-07;10000;5985;1
100.0;4;1e-07;100000;5959;1
100.0;4;1e-08;10;42;0
100.0;4;1e-08;100;21963;1
100.0;4;1e-08;1000;10851;1
100.0;4;1e-08;10000;10534;1
100.0;4;1e-08;100000;10517;1
